zone_name_code,zone_name_en,zone_name_ja
zn-dngn-dark,Dark Cave,くらやみのほらあな
zn-dngn-spro,Sprout Tower,マダツボミのとう
zn-dngn-alph,Ruins of Alph,アルフのいせき
zn-dngn-unio,Union Cave,つながりのどうくつ
zn-dngn-well,Slowpoke Well,ヤドンのいど
zn-dngn-ilex,Ilex Forest,ウバメのもり
zn-dngn-rad,Radio Tower,ラジオとう
zn-dngn-gold-under,Goldenrod Underground,ちかつうろ
zn-dngn-park,National Park,しぜんこうえん
zn-dngn-park-pre,Pre Nat Dex,全国図鑑前に
zn-dngn-park-tue,Tuesday,火曜日
zn-dngn-park-thu,Thursday,木曜日
zn-dngn-park-sat,Saturday,Saturday
zn-dngn-ath,Pokeathlon Dome,ポケスロンドーム
zn-dngn-burn,Burned Tower,やけたとう
zn-dngn-burn-1F,1F,1F
zn-dngn-burn-B1F,B1F,B1F
zn-dngn-bell,Bell Tower,スズのとう
zn-dngn-trail,Bellchime Trail,スズねのこみち
zn-dngn-ligh,Shining Lighthouse,かがやきのとうだい
zn-dngn-aqua,SS Aqua,アクアごう
zn-dngn-batt,Battle Frontier,バトルフロンティア
zn-dngn-batt-acce,Frontier Access,フロンティアフロント
zn-dngn-batt-main,Main area,メインエリア
zn-dngn-whir,Whirl Islands,うずまきじま
zn-dngn-embe,Embedded Tower,うずもれのとう
zn-dngn-mort,Mt. Mortar,スリバチやま
zn-dngn-mort-1f,1F,1F
zn-dngn-hide,Rocket Hideout,ロケットだんアジト
zn-dngn-lake,Lake of Rage,いかりのみずうみ
zn-dngn-ice,Ice Path,こおりのぬけみち
zn-dngn-den,Dragon's Den,りゅうのあな
zn-dngn-fall,Tohjo Falls,トージョウのたき
zn-dngn-fall-main,Main Area,メインエリア
zn-dngn-fall-room,Giovanni's Room,サカキのルーム
zn-dngn-rece-gate,Reception Gate,ポケモンリーグ うけつけゲート
zn-dngn-road,Victory Road,チャンピオンロード
zn-dngn-indi,Indigo Plateau,セキエイこうげん
zn-dngn-indi-main,Main Area,メインエリア
zn-dngn-indi-leag,Pokemon League,ポケモンリーグ
zn-dngn-silv,Mt. Silver,シロガネやま
zn-dngn-viri,Viridian Forest,トキワのもり
zn-dngn-dig,Diglett's Cave,ディグダのあな
zn-dngn-moon,Mt. Moon,おつきみやま
zn-dngn-ceru,Cerulean Cave,ハナダのどうくつ
zn-dngn-rock,Rock Tunnel,イワヤマトンネル
zn-dngn-pow,Power Plant,カントーはつでんしょ
zn-dngn-silp,Silph Co,シルフカンパニー
zn-dngn-silp-lob,Lobby,ロビー
zn-dngn-silp-rot,Rotom Room,ロトムのルーム
zn-dngn-foam,Seafoam Islands,ふたごじま
zn-dngn-cin,Cinnabar Island,グレンタウン
zn-saf,Safari Zone,サファリゾーン
zn-saf-gate,Safari Zone Gate,サファリゾーンゲート
zn-saf-plai,Plains,そうげんエリア
zn-saf-mead,Meadow,はなばたけエリア
zn-saf-sava,Savannah,サバンナエリア
zn-saf-peak,Peak,いわばエリア
zn-saf-rock,Rocky Beach,みずべのいわばエリア
zn-saf-wet,Wetland,しつげんエリア
zn-saf-fore,Forest,もりエリア
zn-saf-swam,Swamp,みずべのもりエリア
zn-saf-mars,Marshland,ぬまちエリア
zn-saf-wast,Wasteland,あれちエリア
zn-saf-moun,Mountain,やまエリア
zn-saf-dese,Desert,さばくエリア
zn-1f,1F,1F
zn-2f,2F,2F
zn-3f,3F,3F
zn-4f,4F,4F
zn-5f,5F,5F
zn-6f,6F,6F
zn-7f,7F,7F
zn-8f,8F,8F
zn-9f,9F,9F
zn-10f,10F,10F
zn-top,Top,上
zn-sum,Summit,最奥
zn-bot,Bottom,最深部
zn-b1f,B1F,B1F
zn-b2f,B2F,B2F
zn-b3f,B3F,B3F
zn-b4f,B4F,B4F
zn-f1t,1F Top,1F 上
zn-b1f1,B1F Room 1,B1F ルーム 1
zn-b1f2,B1F Room 2,B1F ルーム 2
zn-1f2,1F-2,1F-2
zn-1f3,1F-3,1F-3
zn-ins,Inside,内
zn-out,Outside,外
zn-m,Mountainside,山腹
