zone,pd,vrs,enc,lv_min,lv_max,rate_m,rate_d,rate_n
city-pall,Tentacruel,HG/SS,Fishing (Super Rod),40,,20,,
city-pall,Shellder,HG/SS,Fishing (Super Rod),40,,30,,
city-pall,Chinchou,HG/SS,Fishing (Super Rod),40,,40,,
city-pall,Lanturn,HG/SS,Fishing (Super Rod),40,,10,,
city-pall,Hoothoot,HG/SS,Headbutt (Group A),2,3,50,,
city-pall,Pineco,HG/SS,Headbutt (Group A),2,3,30,,
city-pall,Wurmple,HG/SS,Headbutt (Group A),2,3,20,,
city-pall,Hoothoot,HG/SS,Headbutt (Group B),5,6,50,,
city-pall,Ledyba,SS,Headbutt (Group B),5,6,30,,
city-pall,Spinarak,HG,Headbutt (Group B),5,6,30,,
city-pall,Wurmple,HG/SS,Headbutt (Group B),5,6,20,,
main-vio,Poliwag,HG/SS,Surfing,10,25,90,,
main-vio,Poliwhirl,HG/SS,Surfing,15,25,10,,
main-vio,Poliwag,HG/SS,Fishing (Old Rod),10,,15,,
main-vio,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
main-vio,Poliwag,HG/SS,Fishing (Good Rod),20,,60,,
main-vio,Magikarp,HG/SS,Fishing (Good Rod),20,,40,,
main-vio,Poliwag,HG/SS,Fishing (Super Rod),40,,80,,
main-vio,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
main-vio,Exeggcute,HG/SS,Headbutt (Group A),10,,20,,
main-vio,Hoothoot,HG/SS,Headbutt (Group A),2,3,50,,
main-vio,Pineco,HG/SS,Headbutt (Group A),10,,30,,
main-vio,Exeggcute,HG/SS,Headbutt (Group B),10,,20,,
main-vio,Hoothoot,HG/SS,Headbutt (Group B),4,5,50,,
main-vio,Hoothoot,HG/SS,Headbutt (Group B),10,,30,,
main-vio,Whiscash,HG/SS,Swarm (Old Rod),10,,15,,
main-vio,Whiscash,HG/SS,Swarm (Good Rod),20,,65,,
main-vio,Whiscash,HG/SS,Swarm (Super Rod),40,,100,,
main-vio,Togepi,HG/SS,Gift,1,,,,
main-vio,Mareep,HG/SS,Gift,1,,,,
main-vio,Wooper,HG/SS,Gift,1,,,,
main-vio,Slugma,HG/SS,Gift,1,,,,
main-aza,Spearow,HG/SS,Headbutt (Group A),3,5,50,,
main-aza,Aipom,HG/SS,Headbutt (Group A),3,5,20,,
main-aza,Heracross,HG/SS,Headbutt (Group A),2,5,30,,
main-aza,Spearow,HG/SS,Headbutt (Group B),6,8,80,,
main-aza,Aipom,HG/SS,Headbutt (Group B),6,8,20,,
main-ecru,Poliwag,HG/SS,Surfing,10,25,90,,
main-ecru,Poliwhirl,HG/SS,Surfing,15,25,10,,
main-ecru,Poliwag,HG/SS,Fishing (Old Rod),10,,15,,
main-ecru,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
main-ecru,Poliwag,HG/SS,Fishing (Good Rod),20,,60,,
main-ecru,Magikarp,HG/SS,Fishing (Good Rod),20,,40,,
main-ecru,Poliwag,HG/SS,Fishing (Super Rod),40,,80,,
main-ecru,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
main-ecru,Exeggcute,HG/SS,Headbutt (Group A),12,14,20,,
main-ecru,Hoothoot,HG/SS,Headbutt (Group A),12,14,50,,
main-ecru,Pineco,HG/SS,Headbutt (Group A),12,14,30,,
main-ecru,Exeggcute,HG/SS,Headbutt (Group B),15,17,20,,
main-ecru,Hoothoot,HG/SS,Headbutt (Group B),15,17,50,,
main-ecru,Ledyba,SS,Headbutt (Group B),15,17,30,,
main-ecru,Spinarak,HG,Headbutt (Group B),15,17,30,,
main-oliv,Tentacool,HG/SS,Surfing,10,25,90,,
main-oliv,Tentacruel,HG/SS,Surfing,15,25,10,,
main-oliv,Krabby,HG/SS,Fishing (Old Rod),10,,15,,
main-oliv,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
main-oliv,Krabby,HG/SS,Fishing (Good Rod),20,,50,50,50
main-oliv,Staryu,HG/SS,Fishing (Good Rod),20,,0,0,10
main-oliv,Magikarp,HG/SS,Fishing (Good Rod),20,,40,40,40
main-oliv,Corsola,HG/SS,Fishing (Good Rod),20,,10,10,0
main-oliv,Krabby,HG/SS,Fishing (Super Rod),40,,60,60,60
main-oliv,Kingler,HG/SS,Fishing (Super Rod),40,,10,10,10
main-oliv,Staryu,HG/SS,Fishing (Super Rod),40,,0,0,30
main-oliv,Corsola,HG/SS,Fishing (Super Rod),40,,30,30,0
main-cian,Tentacool,HG/SS,Surfing,10,25,90,,
main-cian,Tentacruel,HG/SS,Surfing,15,25,10,,
main-cian,Krabby,HG/SS,Fishing (Old Rod),10,,15,,
main-cian,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
main-cian,Krabby,HG/SS,Fishing (Good Rod),20,,50,50,50
main-cian,Staryu,HG/SS,Fishing (Good Rod),20,,0,0,10
main-cian,Magikarp,HG/SS,Fishing (Good Rod),20,,40,40,40
main-cian,Corsola,HG/SS,Fishing (Good Rod),20,,10,10,0
main-cian,Krabby,HG/SS,Fishing (Super Rod),40,,60,60,60
main-cian,Kingler,HG/SS,Fishing (Super Rod),40,,10,10,10
main-cian,Staryu,HG/SS,Fishing (Super Rod),40,,0,0,30
main-cian,Corsola,HG/SS,Fishing (Super Rod),40,,30,30,0
main-cian,Krabby,HG/SS,Rock Smash,15,24,80,,
main-cian,Shuckle,HG/SS,Rock Smash,23,28,20,,
main-thor,Magikarp,HG/SS,Surfing,2,20,100,,
main-thor,Poliwag,HG/SS,Fishing (Old Rod),10,,15,,
main-thor,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
main-thor,Poliwag,HG/SS,Fishing (Good Rod),20,,40,,
main-thor,Magikarp,HG/SS,Fishing (Good Rod),20,,60,,
main-thor,Poliwag,HG/SS,Fishing (Super Rod),40,,80,,
main-thor,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
main-ver,Diglett,HG/SS,Rock Smash,24,37,80,,
main-ver,Shuckle,HG/SS,Rock Smash,32,35,20,,
main-ver,Spearow,HG/SS,Headbutt (Group A),11,13,50,,
main-ver,Heracross,HG/SS,Headbutt (Group A),11,13,30,,
main-ver,Combee,HG/SS,Headbutt (Group A),11,13,20,,
main-ver,Spearow,HG/SS,Headbutt (Group B),14,16,80,,
main-ver,Combee,HG/SS,Headbutt (Group B),14,16,20,,
main-ver,Tentacool,HG/SS,Surfing,30,35,90,,
main-ver,Tentacruel,HG/SS,Surfing,35,,10,,
main-ver,Tentacool,HG/SS,Fishing (Old Rod),10,,15,,
main-ver,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
main-ver,Tentacool,HG/SS,Fishing (Good Rod),20,,30,,
main-ver,Shellder,HG/SS,Fishing (Good Rod),20,,10,,
main-ver,Magikarp,HG/SS,Fishing (Good Rod),20,,40,,
main-ver,Chinchou,HG/SS,Fishing (Good Rod),20,,20,,
main-ver,Tentacruel,HG/SS,Fishing (Super Rod),40,,20,,
main-ver,Shellder,HG/SS,Fishing (Super Rod),40,,30,,
main-ver,Chinchou,HG/SS,Fishing (Super Rod),40,,40,,
main-ver,Lanturn,HG/SS,Fishing (Super Rod),40,,10,,
main-ver,Wingull,HG/SS,Swarm,35,,60,,
main-ceru,Goldeen,HG/SS,Surfing,5,10,90,,
main-ceru,Seaking,HG/SS,Surfing,10,,10,,
main-ceru,Goldeen,HG/SS,Fishing (Old Rod),10,,15,,
main-ceru,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
main-ceru,Goldeen,HG/SS,Fishing (Good Rod),20,,40,,
main-ceru,Magikarp,HG/SS,Fishing (Good Rod),20,,60,,
main-ceru,Goldeen,HG/SS,Fishing (Super Rod),40,,70,,
main-ceru,Seaking,HG/SS,Fishing (Super Rod),40,,10,,
main-ceru,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
main-ceru,Hoothoot,HG/SS,Headbutt (Group A),11,13,50,,
main-ceru,Pineco,HG/SS,Headbutt (Group A),11,13,30,,
main-ceru,Combee,HG/SS,Headbutt (Group A),11,13,20,,
main-ceru,Hoothoot,HG/SS,Headbutt (Group B),14,16,80,,
main-ceru,Combee,HG/SS,Headbutt (Group B),14,16,20,,
main-cel,Spearow,HG/SS,Headbutt (Group A),15,17,50,,
main-cel,Heracross,HG/SS,Headbutt (Group A),15,17,30,,
main-cel,Combee,HG/SS,Headbutt (Group A),15,17,20,,
main-cel,Spearow,HG/SS,Headbutt (Group B),18,20,80,,
main-cel,Combee,HG/SS,Headbutt (Group B),18,20,20,,
main-cel,Grimer,HG/SS,Surfing,15,20,90,,
main-cel,Muk,HG/SS,Surfing,15,,10,,
main-fu,Magikarp,HG/SS,Surfing,10,20,100,,
main-fu,Magikarp,HG/SS,Fishing (Old Rod),10,,100,,
main-fu,Magikarp,HG/SS,Fishing (Good Rod),20,,90,,
main-fu,Gyarados,HG/SS,Fishing (Good Rod),20,,10,,
main-fu,Magikarp,HG/SS,Fishing (Super Rod),40,,70,,
main-fu,Gyarados,HG/SS,Fishing (Super Rod),40,,30,,
main-fu,Hoothoot,HG/SS,Headbutt (Group A),21,23,50,,
main-fu,Ledyba,SS,Headbutt (Group A),21,23,30,,
main-fu,Spinarak,HG,Headbutt (Group A),21,23,30,,
main-fu,Wurmple,HG/SS,Headbutt (Group A),21,23,20,,
main-fu,Tangela,HG/SS,Headbutt (Group B),26,34,15,,
main-fu,Hoothoot,HG/SS,Headbutt (Group B),26,34,65,,
main-fu,Wurmple,HG/SS,Headbutt (Group B),26,34,20,,
main-pew,Hoothoot,HG/SS,Headbutt (Group A),3,5,50,,
main-pew,Pineco,HG/SS,Headbutt (Group A),3,5,30,,
main-pew,Wurmple,HG/SS,Headbutt (Group A),3,5,20,,
main-pew,Hoothoot,HG/SS,Headbutt (Group B),7,9,80,,
main-pew,Wurmple,HG/SS,Headbutt (Group B),7,9,20,,
main-pew,Wurmple,HG/SS,Headbutt (sp),5,9,65,,
main-pew,Starly,HG/SS,Headbutt (sp),5,9,30,,
main-pew,Starly,HG/SS,Headbutt (sp),8,12,5,,
main-pew,Latios,HG,sp,40,,,,
main-pew,Latias,SS,sp,40,,,,
main-viri,Poliwag,HG/SS,Surfing,5,10,90,,
main-viri,Poliwhirl,HG/SS,Surfing,10,,10,,
main-viri,Poliwag,HG/SS,Fishing (Old Rod),10,,15,,
main-viri,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
main-viri,Poliwag,HG/SS,Fishing (Good Rod),20,,60,,
main-viri,Magikarp,HG/SS,Fishing (Good Rod),20,,40,,
main-viri,Poliwag,HG/SS,Fishing (Super Rod),40,,80,,
main-viri,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
main-viri,Hoothoot,HG/SS,Headbutt (Group A),3,4,50,,
main-viri,Pineco,HG/SS,Headbutt (Group A),3,4,30,,
main-viri,Wurmple,HG/SS,Headbutt (Group A),3,4,20,,
main-viri,Hoothoot,HG/SS,Headbutt (Group B),5,7,50,,
main-viri,Ledyba,SS,Headbutt (Group B),5,7,30,,
main-viri,Spinarak,HG,Headbutt (Group B),5,7,30,,
main-viri,Wurmple,HG/SS,Headbutt (Group B),5,7,20,,
rout-1,Pidgey,HG/SS,Grass,2,4,45,45,0
rout-1,Rattata,HG/SS,Grass,2,6,30,30,55
rout-1,Sentret,HG/SS,Grass,3,,20,20,0
rout-1,Furret,HG/SS,Grass,6,,5,5,0
rout-1,Hoothoot,HG/SS,Grass,2,4,0,0,45
rout-1,Hoothoot,HG/SS,Headbutt (Group A),2,3,50,,
rout-1,Pineco,HG/SS,Headbutt (Group A),2,3,30,,
rout-1,Wurmple,HG/SS,Headbutt (Group A),2,3,20,,
rout-1,Hoothoot,HG/SS,Headbutt (Group B),5,6,50,,
rout-1,Ledyba,SS,Headbutt (Group B),5,6,30,,
rout-1,Spinarak,HG,Headbutt (Group B),5,6,30,,
rout-1,Wurmple,HG/SS,Headbutt (Group B),5,6,20,,
rout-1,Poochyena,HG/SS,Swarm,2,,40,,
rout-1,Plusle,HG/SS,Hoenn Sound,2,,20,,
rout-1,Minun,HG/SS,Hoenn Sound,3,,20,,
rout-1,Shinx,HG/SS,Sinnoh Sound,2,3,40,,
rout-2-nor,Caterpie,HG,Grass,3,4,31,31,0
rout-2-nor,Metapod,HG,Grass,5,,20,0,0
rout-2-nor,Butterfree,HG,Grass,7,8,10,10,0
rout-2-nor,Weedle,SS,Grass,4,,1,1,1
rout-2-nor,Weedle,SS,Grass,3,5,10,30,10
rout-2-nor,Kakuna,SS,Grass,3,5,20,20,10
rout-2-nor,Kakuna,SS,Grass,7,,0,0,1
rout-2-nor,Beedrill,SS,Grass,7,10,10,0,4
rout-2-nor,Pidgey,HG,Grass,3,5,30,50,0
rout-2-nor,Pidgey,SS,Grass,3,7,20,40,0
rout-2-nor,Pidgeotto,HG,Grass,7,10,5,9,0
rout-2-nor,Pidgeotto,SS,Grass,7,,0,5,0
rout-2-nor,Hoothoot,HG,Grass,3,5,0,0,50
rout-2-nor,Hoothoot,SS,Grass,3,5,0,0,60
rout-2-nor,Noctowl,HG,Grass,7,10,0,0,14
rout-2-nor,Noctowl,SS,Grass,7,,0,0,14
rout-2-nor,Ledyba,SS,Grass,3,10,30,4,0
rout-2-nor,Ledian,SS,Grass,7,10,9,0,0
rout-2-nor,Spinarak,HG,Grass,3,10,4,0,31
rout-2-nor,Ariados,HG,Grass,7,,0,0,5
rout-2-nor,Hoothoot,HG/SS,Headbutt (Group A),3,4,50,,
rout-2-nor,Pineco,HG/SS,Headbutt (Group A),3,4,30,,
rout-2-nor,Wurmple,HG/SS,Headbutt (Group A),3,4,20,,
rout-2-nor,Hoothoot,HG/SS,Headbutt (Group B),5,7,50,,
rout-2-nor,Ledyba,SS,Headbutt (Group B),5,7,30,,
rout-2-nor,Spinarak,HG,Headbutt (Group B),5,7,30,,
rout-2-nor,Wurmple,HG/SS,Headbutt (Group B),5,7,20,,
rout-2-nor,Plusle,HG/SS,Hoenn Sound,3,,20,,
rout-2-nor,Minun,HG/SS,Hoenn Sound,5,,20,,
rout-2-nor,Shinx,HG/SS,Sinnoh Sound,3,5,40,,
rout-2-sou,Caterpie,HG,Grass,3,4,31,31,0
rout-2-sou,Metapod,HG,Grass,5,,20,20,0
rout-2-sou,Butterfree,HG,Grass,7,8,10,0,0
rout-2-sou,Weedle,SS,Grass,3,5,11,31,11
rout-2-sou,Kakuna,SS,Grass,3,5,20,20,10
rout-2-sou,Kakuna,SS,Grass,7,,0,0,1
rout-2-sou,Beedrill,SS,Grass,7,10,10,0,4
rout-2-sou,Pidgey,HG,Grass,3,8,30,40,0
rout-2-sou,Pidgey,SS,Grass,3,7,20,40,0
rout-2-sou,Pidgeotto,HG,Grass,7,10,5,9,0
rout-2-sou,Pidgeotto,SS,Grass,7,,0,5,0
rout-2-sou,Hoothoot,HG,Grass,3,5,0,0,50
rout-2-sou,Hoothoot,SS,Grass,3,5,0,0,60
rout-2-sou,Noctowl,HG,Grass,7,10,0,0,14
rout-2-sou,Noctowl,SS,Grass,7,,0,0,14
rout-2-sou,Ledyba,SS,Grass,3,10,30,4,0
rout-2-sou,Ledian,SS,Grass,7,10,9,0,0
rout-2-sou,Spinarak,HG,Grass,3,10,4,0,31
rout-2-sou,Ariados,HG,Grass,7,,0,0,5
rout-2-sou,Hoothoot,HG/SS,Headbutt (Group A),3,4,50,,
rout-2-sou,Pineco,HG/SS,Headbutt (Group A),3,4,30,,
rout-2-sou,Wurmple,HG/SS,Headbutt (Group A),3,4,20,,
rout-2-sou,Hoothoot,HG/SS,Headbutt (Group B),5,7,50,,
rout-2-sou,Ledyba,SS,Headbutt (Group B),5,7,30,,
rout-2-sou,Spinarak,HG,Headbutt (Group B),5,7,30,,
rout-2-sou,Wurmple,HG/SS,Headbutt (Group B),5,7,20,,
rout-2-sou,Plusle,HG/SS,Hoenn Sound,3,,20,,
rout-2-sou,Minun,HG/SS,Hoenn Sound,5,,20,,
rout-2-sou,Shinx,HG/SS,Sinnoh Sound,3,5,40,,
rout-3,Rattata,HG,Grass,5,10,35,35,60
rout-3,Rattata,SS,Grass,5,8,30,30,35
rout-3,Spearow,HG,Grass,5,8,55,55,0
rout-3,Spearow,SS,Grass,5,8,35,35,0
rout-3,Ekans,SS,Grass,8,,20,20,20
rout-3,Arbok,SS,Grass,10,,5,5,5
rout-3,Jigglypuff,HG/SS,Grass,6,,10,10,10
rout-3,Zubat,HG/SS,Grass,5,,0,0,30
rout-3,Hoothoot,HG/SS,Headbutt (Group A),6,7,50,,
rout-3,Pineco,HG/SS,Headbutt (Group A),6,7,30,,
rout-3,Wurmple,HG/SS,Headbutt (Group A),6,7,20,,
rout-3,Hoothoot,HG/SS,Headbutt (Group B),9,10,80,,
rout-3,Wurmple,HG/SS,Headbutt (Group B),9,10,20,,
rout-3,Baltoy,HG,Swarm,5,,40,,
rout-3,Gulpin,SS,Swarm,5,,40,,
rout-3,Plusle,HG/SS,Hoenn Sound,5,,20,,
rout-3,Minun,HG/SS,Hoenn Sound,8,,20,,
rout-3,Shinx,HG/SS,Sinnoh Sound,5,8,40,,
rout-4,Rattata,HG,Grass,5,10,35,35,30
rout-4,Rattata,SS,Grass,5,8,30,30,35
rout-4,Spearow,HG,Grass,5,8,55,55,30
rout-4,Spearow,SS,Grass,5,8,35,35,0
rout-4,Ekans,SS,Grass,8,,20,20,20
rout-4,Arbok,SS,Grass,10,,5,5,5
rout-4,Jigglypuff,HG/SS,Grass,6,,10,10,10
rout-4,Zubat,HG/SS,Grass,5,,0,0,30
rout-4,Goldeen,HG/SS,Surfing,5,10,90,,
rout-4,Seaking,HG/SS,Surfing,10,,10,,
rout-4,Goldeen,HG/SS,Fishing (Old Rod),10,,15,,
rout-4,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-4,Goldeen,HG/SS,Fishing (Good Rod),20,,60,,
rout-4,Magikarp,HG/SS,Fishing (Good Rod),20,,40,,
rout-4,Goldeen,HG/SS,Fishing (Super Rod),40,,70,,
rout-4,Seaking,HG/SS,Fishing (Super Rod),40,,10,,
rout-4,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
rout-4,Hoothoot,HG/SS,Headbutt (Group A),6,7,50,,
rout-4,Pineco,HG/SS,Headbutt (Group A),6,7,30,,
rout-4,Wurmple,HG/SS,Headbutt (Group A),6,7,20,,
rout-4,Hoothoot,HG/SS,Headbutt (Group B),9,10,80,,
rout-4,Wurmple,HG/SS,Headbutt (Group B),9,10,20,,
rout-4,Linoone,HG/SS,Hoenn Sound,8,,20,,
rout-4,Whismur,HG/SS,Hoenn Sound,5,,20,,
rout-4,Bidoof,HG/SS,Sinnoh Sound,8,,20,,
rout-4,Buizel,HG/SS,Sinnoh Sound,5,,20,,
rout-5,Pidgey,HG,Grass,13,15,60,60,0
rout-5,Pidgey,SS,Grass,13,15,40,40,0
rout-5,Oddish,HG,Grass,13,,0,0,60
rout-5,Oddish,SS,Grass,13,,0,0,30
rout-5,Gloom,HG/SS,Grass,15,,0,0,10
rout-5,Meowth,SS,Grass,13,14,20,20,30
rout-5,Abra,HG/SS,Grass,12,14,10,10,10
rout-5,Bellsprout,HG/SS,Grass,13,14,30,30,20
rout-5,Hoothoot,HG/SS,Headbutt (Group A),11,13,50,,
rout-5,Pineco,HG/SS,Headbutt (Group A),11,13,30,,
rout-5,Combee,HG/SS,Headbutt (Group A),11,13,20,,
rout-5,Hoothoot,HG/SS,Headbutt (Group B),14,16,80,,
rout-5,Combee,HG/SS,Headbutt (Group B),14,16,20,,
rout-5,Plusle,HG/SS,Hoenn Sound,13,,20,,
rout-5,Minun,HG/SS,Hoenn Sound,14,,20,,
rout-5,Shinx,HG/SS,Sinnoh Sound,13,14,40,,
rout-6,Pidgey,HG,Grass,13,14,50,50,0
rout-6,Pidgey,SS,Grass,13,,30,30,0
rout-6,Oddish,HG,Grass,13,,0,0,60
rout-6,Oddish,SS,Grass,13,,0,0,30
rout-6,Meowth,SS,Grass,13,14,20,20,30
rout-6,Magnemite,HG/SS,Grass,15,,10,10,10
rout-6,Abra,HG/SS,Grass,12,14,10,10,10
rout-6,Bellsprout,HG/SS,Grass,13,14,30,30,20
rout-6,Psyduck,HG/SS,Surfing,5,10,90,,
rout-6,Golduck,HG/SS,Surfing,10,,10,,
rout-6,Poliwag,HG/SS,Fishing (Old Rod),10,,15,,
rout-6,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-6,Poliwag,HG/SS,Fishing (Good Rod),20,,40,,
rout-6,Magikarp,HG/SS,Fishing (Good Rod),20,,60,,
rout-6,Poliwag,HG/SS,Fishing (Super Rod),40,,80,,
rout-6,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
rout-6,Hoothoot,HG/SS,Headbutt (Group A),11,13,50,,
rout-6,Pineco,HG/SS,Headbutt (Group A),11,13,30,,
rout-6,Combee,HG/SS,Headbutt (Group A),11,13,20,,
rout-6,Hoothoot,HG/SS,Headbutt (Group B),14,16,80,,
rout-6,Combee,HG/SS,Headbutt (Group B),14,16,20,,
rout-6,Linoone,HG/SS,Hoenn Sound,14,,20,,
rout-6,Whismur,HG/SS,Hoenn Sound,13,,20,,
rout-6,Bidoof,HG/SS,Sinnoh Sound,14,,20,,
rout-6,Buizel,HG/SS,Sinnoh Sound,13,,20,,
rout-7,Rattata,HG,Grass,15,19,45,35,30
rout-7,Rattata,SS,Grass,15,,5,0,0
rout-7,Raticate,HG/SS,Grass,19,,10,10,10
rout-7,Spearow,HG/SS,Grass,17,,30,30,0
rout-7,Vulpix,SS,Grass,15,18,20,25,20
rout-7,Meowth,SS,Grass,17,,30,30,30
rout-7,Persian,SS,Grass,19,,5,5,5
rout-7,Growlithe,HG,Grass,15,18,20,25,20
rout-7,Murkrow,HG,Grass,17,19,0,0,35
rout-7,Murkrow,SS,Grass,17,,0,0,30
rout-7,Houndour,HG,Grass,15,,0,0,5
rout-7,Spearow,HG/SS,Headbutt (Group A),15,17,50,,
rout-7,Heracross,HG/SS,Headbutt (Group A),15,17,30,,
rout-7,Combee,HG/SS,Headbutt (Group A),15,17,20,,
rout-7,Spearow,HG/SS,Headbutt (Group B),18,20,80,,
rout-7,Combee,HG/SS,Headbutt (Group B),18,20,20,,
rout-7,Plusle,HG/SS,Hoenn Sound,17,,20,,
rout-7,Minun,HG/SS,Hoenn Sound,18,,20,,
rout-7,Shinx,HG/SS,Sinnoh Sound,17,18,40,,
rout-8,Pidgeotto,HG,Grass,17,19,65,65,0
rout-8,Pidgeotto,SS,Grass,17,19,35,35,0
rout-8,Vulpix,SS,Grass,18,17,10,10,5
rout-8,Meowth,SS,Grass,17,,30,30,30
rout-8,Growlithe,HG,Grass,17,18,10,10,5
rout-8,Abra,HG/SS,Grass,15,,20,20,20
rout-8,Kadabra,HG/SS,Grass,15,,5,5,5
rout-8,Haunter,HG/SS,Grass,19,,0,0,30
rout-8,Noctowl,HG,Grass,17,18,0,0,40
rout-8,Noctowl,SS,Grass,18,,0,0,10
rout-8,Hoothoot,HG/SS,Headbutt (Group A),16,17,50,,
rout-8,Pineco,HG/SS,Headbutt (Group A),16,17,30,,
rout-8,Combee,HG/SS,Headbutt (Group A),16,17,20,,
rout-8,Hoothoot,HG/SS,Headbutt (Group B),18,19,80,,
rout-8,Combee,HG/SS,Headbutt (Group B),18,19,20,,
rout-8,Plusle,HG/SS,Hoenn Sound,17,19,20,,
rout-8,Minun,HG/SS,Hoenn Sound,15,,20,,
rout-8,Shinx,HG/SS,Sinnoh Sound,15,19,40,,
rout-9,Rattata,HG,Grass,15,,30,30,40
rout-9,Rattata,SS,Grass,13,15,30,30,70
rout-9,Raticate,HG,Grass,13,15,10,10,25
rout-9,Raticate,SS,Grass,13,15,15,15,30
rout-9,Spearow,HG,Grass,13,,20,20,0
rout-9,Spearow,SS,Grass,13,15,50,50,0
rout-9,Fearow,HG/SS,Grass,15,,5,5,0
rout-9,Mankey,HG,Grass,13,,30,30,30
rout-9,Primeape,HG,Grass,15,,5,5,5
rout-9,Goldeen,HG/SS,Surfing,10,15,90,,
rout-9,Seaking,HG/SS,Surfing,15,,10,,
rout-9,Goldeen,HG/SS,Fishing (Old Rod),10,,15,,
