item_code,item_img,item_name_en,item_name_ja,item_desc_en,item_desc_ja,item_price_buy_ye,item_price_sel_ye,item_price_buy_bp,item_price_buy_cn,item_price_buy_ap,item_flin,item_type_code,item_pkt_code,item_cat_code
fullheal,full-heal,Full Heal,なんでもなおし,"Heals all Status Ailments; Poison, Burn, Paralysis, Frozen & Sleep on one Pokémon.",どく、まひ、ねむり、やけど、こおり、こんらん状態を回復させる。,600,300,null,null,null,30,item,ip-med,ic-med
revive,revive,Revive,げんきのかけら,Restores a fainted Pokémon to 50% of their current maximum possible Hit Points.,ひんし状態を回復し、HPを最大の半分だけ回復する。,1500,750,null,null,null,30,item,ip-med,ic-med
maxrevive,max-revive,Max Revive,げんきのかたまり,Completely revives a fainted Pokémon to its maximum Hit Points.,ひんし状態を回復し、HPを最大まで回復する。,null,2000,null,null,null,30,item,ip-med,ic-med
freshwater,fresh-water,Fresh Water,おいしいみず,Heals a Pokémon by 50HP.,HPを50回復。,200,100,null,null,null,30,item,ip-med,ic-med
sodapop,soda-pop,Soda Pop,サイコソーダ,Heals a Pokémon by 60HP.,HPを60回復。,300,150,null,null,null,30,item,ip-med,ic-med
lemonade,lemonade,Lemonade,ミックスオレ,Heals a Pokémon by 80HP.,HPを80回復。,350,175,null,null,null,30,item,ip-med,ic-med
moomoomilk,moomoo-milk,Moomoo Milk,モーモーミルク,Heals a Pokémon by 100HP.,HPを100回復する。,500,250,null,null,100,30,item,ip-med,ic-med
energypowder,energy-powder,EnergyPowder,ちからのこな,"Heals a Pokémon by 50HP, but lowers the Pokémon's happiness.",HPを50回復する。なつき度が200未満なら5、200以上なら10下がる。,500,250,null,null,null,30,item,ip-med,ic-med
energyroot,energy-root,Energy Root,ちからのねっこ,"Heals a Pokémon by 200HP, but lowers the Pokémon's happiness.",HPを200回復する。なつき度が200未満なら10、200以上なら15下がる。,800,400,null,null,null,30,item,ip-med,ic-med
healpowder,heal-powder,Heal Powder,ばんのうごな,"Heals all Status Ailments; Poison, Burn, Paralysis, Frozen & Sleep on one Pokémon, but also lowers the Pokémon's Happiness.",状態異常全てとこんらん状態を回復する。なつき度が200未満なら5、200以上なら10下がる。,450,225,null,null,null,30,item,ip-med,ic-med
revivalherb,revival-herb,Revival Herb,ふっかつそう,"Completely revives a fainted Pokémon to its maximum Hit Points, but lowers the Pokémon's Happiness.",ひんし状態を回復し、HPを全回復する。なつき度が200未満なら15、200以上なら20下がる。,2800,1400,null,null,null,30,item,ip-med,ic-med
ether,ether,Ether,ピーピーエイド,Restores the PP of one of the Pokémon's moves by 10PP.,ポケモン1匹の1つの技のPPを10回復する。,null,600,null,null,null,30,item,ip-med,ic-med
maxether,max-ether,Max Ether,ピーピーリカバー,Completely restores the PP of one of the Pokémon's moves.,1匹のポケモンの1つの技のPPを全回復する。,null,1000,null,null,null,30,item,ip-med,ic-med
elixir,elixir,Elixir,ピーピーエイダー,Restores the PP of all of the Pokémon's moves by 10PP.,1匹のポケモンの全ての技のPPを10回復する。,null,1500,null,null,null,30,item,ip-med,ic-med
maxelixir,max-elixir,Max Elixir,ピーピーマックス,Completely restores the PP of all of the Pokémon's moves by 10PP.,1匹のポケモンの全ての技のPPを全回復する。,null,2250,null,null,null,30,item,ip-med,ic-med
lavacookie,lava-cookie,Lava Cookie,フエンせんべい,"Heals all Status Ailments; Poison, Burn, Paralysis, Frozen & Sleep on one Pokémon.",ポケモン1匹の状態異常を全て治す。,200,100,null,null,null,30,item,ip-med,ic-med
berryjuice,berry-juice,Berry Juice,きのみジュース,"When used from the Bag on a Pokémon, it restores 20 HP to that Pokémon. If held by a Pokémon, restore 20 HP when its HP falls below 50%.",バッグから使うとHPを20回復する。ポケモンに持たせると、HPが最大HPの1/2以下になったときに発動してHPを20回復する。,null,50,null,null,null,30,item,ip-med,ic-med
sacredash,sacred-ash,Sacred Ash,せいなるはい,Revives all fainted Pokémon to their maximum Hit Points.,手持ちポケモン全員のHPとPPを全回復する。,null,100,null,null,null,30,item,ip-med,ic-med
hpup,hp-up,HP Up,マックスアップ,Increases the Effort Values for the Pokémon's Hit Point stat up by 10EVs until the Pokémon hits 100EVs in this stat.,HP努力値を10アップするドーピングアイテム。HP努力値が100になるまで使えた。,9800,4900,1,null,null,30,item,ip-med,ic-dop
protein,protein,Protein,タウリン,Increases the Effort Values for the Pokémon's Attack stat up by 10EVs until the Pokémon hits 100EVs in this stat.,こうげき努力値を10アップするドーピングアイテム。こうげき努力値が100になるまで使えた。,9800,4900,1,null,null,30,item,ip-med,ic-dop
iron,iron,Iron,ブロムヘキシン,Increases the Effort Values for the Pokémon's Defence stat up by 10EVs until the Pokémon hits 100EVs in this stat.,ぼうぎょ努力値を10アップするドーピングアイテム。ぼうぎょ努力値が100になるまで使えた。,9800,4900,1,null,null,30,item,ip-med,ic-dop
calcium,calcium,Calcium,リゾチウム,Increases the Effort Values for the Pokémon's Special Attack stat up by 10EVs until the Pokémon hits 100EVs in this stat.,とくこう努力値を10アップするドーピングアイテム。とくこう努力値が100になるまで使えた。,9800,4900,1,null,null,30,item,ip-med,ic-dop
zinc,zinc,Zinc,キトサン,Increases the Effort Values for the Pokémon's Special Defence stat up by 10EVs until the Pokémon hits 100EVs in this stat.,とくぼう努力値を10アップするドーピングアイテム。とくぼう努力値が100になるまで使えた。,9800,4900,1,null,null,30,item,ip-med,ic-dop
carbos,carbos,Carbos,インドメタシン,Increases the Effort Values for the Pokémon's Speed stat up by 10EVs until the Pokémon hits 100EVs in this stat.,すばやさ努力値を10アップするドーピングアイテム。すばやさ努力値が100になるまで使えた。,9800,4900,1,null,null,30,item,ip-med,ic-dop
ppup,pp-up,PP Up,ポイントアップ,Increases the maximum PP of any move by 20% of the original PP. Can be used three times per move.,1つの技のPPの最大値を1段階上げる。1つの技につき3回まで使える。,null,4900,null,null,1000,30,item,ip-med,ic-med
ppmax,pp-max,PP Max,ポイントマックス,Increases the maximum PP of any move to 160% of the original PP. Can be used once per move.,1つの技のPPの最大値を限界まで上げる。,null,4900,null,null,null,30,item,ip-med,ic-med
rarecandy,rare-candy,Rare Candy,ふしぎなアメ,Raises a Pokémon's level by 1.,ポケモンのレベルを1上げる。,null,2400,48,null,2000,30,item,ip-med,ic-med
oldgateau,old-gateau,Old Gateau,もりのヨウカン,"Heals all Status Ailments; Poison, Burn, Paralysis, Frozen & Sleep on one Pokémon.",ポケモン1匹の状態異常を全て治す。,null,100,null,null,null,30,item,ip-med,ic-med
guardspec.,guard-spec,Guard Spec.,エフェクトガード,"In battle, it prevents the opponent from reducing the Pokémon's stats for five turns.",戦闘中に使うと、味方のランク補正を他のポケモンから下げられなくする。,700,350,null,null,null,30,item,ip-batt,ic-batt
direhit,dire-hit,Dire Hit,クリティカッター,"In battle, it raises the Pokémon's Critical Hit ratio by 1 until the battle is over or the Pokémon is withdrawn.",戦闘中に使ったポケモンはきゅうしょアップ状態になり、急所ランクが1段階上昇する。,650,325,null,null,null,30,item,ip-batt,ic-batt
xattack,x-attack,X Attack,プラスパワー,"In battle, it raises the Pokémon's Attack by 1 stage until the battle is over or the Pokémon is withdrawn.",戦闘中に使ったポケモンは、こうげきのランク補正が1段階上がる。,500,250,null,null,null,30,item,ip-batt,ic-batt
xdefense,x-defense,X Defense,ディフェンダー,"In battle, it raises the Pokémon's Defence by 1 stage until the battle is over or the Pokémon is withdrawn.",戦闘中に使ったポケモンは、ぼうぎょのランク補正が1段階上がる。,550,275,null,null,null,30,item,ip-batt,ic-batt
xsp.atk,x-sp-atk,X Special,スペシャルアップ,"In battle, it raises the Pokémon's Special Attack by 1 stage until the battle is over or the Pokémon is withdrawn.",戦闘中に使ったポケモンは、とくこうのランク補正が1段階上がる。,350,175,null,null,null,30,item,ip-batt,ic-batt
xsp.def,x-sp-def,X Sp. Def,スペシャルガード,"In battle, it raises the Pokémon's Special Defence by 1 stage until the battle is over or the Pokémon is withdrawn.",戦闘中に使ったポケモンは、とくぼうのランク補正が1段階上がる。,350,175,null,null,null,30,item,ip-batt,ic-batt
xspeed,x-speed,X Speed,スピーダー,"In battle, it raises the Pokémon's Speed by 1 stage until the battle is over or the Pokémon is withdrawn.",戦闘中に使ったポケモンは、すばやさのランク補正が1段階上がる。,350,175,null,null,null,30,item,ip-batt,ic-batt
xaccuracy,x-accuracy,X Accuracy,ヨクアタール,"In battle, it raises the Pokémon's Accuracy by 1 stage until the battle is over or the Pokémon is withdrawn.",戦闘中に使ったポケモンは、命中率のランク補正が1段階上がる。,950,475,null,null,null,30,item,ip-batt,ic-batt
pokedoll,poke-doll,Poké Doll,ピッピにんぎょう,A doll that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.,野生ポケモンから必ず逃げられる。,1000,500,null,null,null,30,item,ip-batt,ic-item
fluffytail,fluffy-tail,Fluffy Tail,エネコのシッポ,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.,野生ポケモンから必ず逃げられる。,1000,500,null,null,null,30,item,ip-batt,ic-item
blueflute,blue-flute,Blue Flute,あおいビードロ,A blue flute made from blown glass. Its melody awakens a single Pokémon from sleep.,ガラスせいの あおい ふえ。ポケモン 1ひきの ねむりの じょうたいを かいふくする。,100,50,null,null,null,30,item,ip-item,ic-flu
yellowflute,yellow-flute,Yellow Flute,きいろビードロ,A yellow flute made from blown glass. Its melody snaps a single Pokémon out of confusion.,ガラスせいの きいろい ふえ。ポケモン 1ひきの こんらんの じょうたいを かいふくする。,200,100,null,null,null,30,item,ip-item,ic-flu
redflute,red-flute,Red Flute,あかいビードロ,A red flute made from blown glass. Its melody snaps a single Pokémon out of infatuation.,ガラスせいの あかい ふえ。ポケモン 1ひきの メロメロの じょうたいを かいふくする。,300,150,null,null,null,30,item,ip-item,ic-flu
blackflute,black-flute,Black Flute,くろいビードロ,A black flute made from blown glass. Its melody makes wild Pokémon less likely to appear.,ガラスせいの くろい ふえ。ふくと やせいの ポケモンが でて きにくくなる。,400,200,null,null,null,30,item,ip-item,ic-flu
whiteflute,white-flute,White Flute,しろいビードロ,A white flute made from blown glass. Its melody makes wild Pokémon more likely to appear.,ガラスせいの しろい ふえ。ふくと やせいの ポケモンが でて きやすくなる。,500,250,null,null,null,30,item,ip-item,ic-flu
shoalsalt,shoal-salt,Shoal Salt,あさせのしお,Pure salt that was discovered deep inside the Shoal Cave. It is extremely salty.,あさせのほらあなの なかで みつけた きれいな しお。 ものすごく しょっぱい。,null,10,null,null,null,30,item,ip-item,ic-item
shoalshell,shoal-shell,Shoal Shell,あさせのかいがら,A pretty seashell that was found deep inside the Shoal Cave. It is striped in blue and white.,あさせのほらあなの なかで みつけた きれいな かいがら。 あおと しろの しまもよう。,null,10,null,null,null,30,item,ip-item,ic-item
redshard,red-shard,Red Shard,あかいかけら,A small red shard. It appears to be from some sort of implement made long ago.,あかいちいさな かけら。むかしに つくられた なにかの どうぐの いちぶ らしい。,null,100,null,null,null,30,item,ip-item,ic-shar
blueshard,blue-shard,Blue Shard,あおいかけら,A small blue shard. It appears to be from some sort of implement made long ago.,あおいちいさな かけら。むかしに つくられた なにかの どうぐの いちぶ らしい。,null,100,null,null,null,30,item,ip-item,ic-shar
yellowshard,yellow-shard,Yellow Shard,きいろいかけら,A small yellow shard. It appears to be from some sort of implement made long ago.,みどりのちいさな かけら。むかしに つくられた なにかの どうぐの いちぶ らしい。,null,100,null,null,null,30,item,ip-item,ic-shar
greenshard,green-shard,Green Shard,みどりのかけら,A small green shard. It appears to be from some sort of implement made long ago.,きいろいちいさな かけら。むかしに つくられた なにかの どうぐの いちぶ らしい。,null,100,null,null,null,30,item,ip-item,ic-shar
repel,repel,Repel,むしよけスプレー,An item that prevents weak wild Pokémon from appearing for 100 steps after its use.,100ぽ すすむ あいだ よわい やせいの ポケモンが まったく でて こなくなる。,350,175,null,null,null,30,item,ip-item,ic-rep
superrepel,super-repel,Super Repel,シルバースプレー,An item that prevents weak wild Pokémon from appearing for 200 steps after its use.,200ぽ すすむ あいだ よわい やせいの ポケモンが まったく でて こなくなる。,500,250,null,null,null,30,item,ip-item,ic-rep
maxrepel,max-repel,Max Repel,ゴールドスプレー,An item that prevents weak wild Pokémon from appearing for 250 steps after its use.,250ぽ すすむ あいだ よわい やせいの ポケモンが まったく でて こなくなる。,700,350,null,null,null,30,item,ip-item,ic-rep
escaperope,escape-rope,Escape Rope,あなぬけのヒモ,Teleports you to the entrance of the cave. Only usable in caves.,ダンジョンで使用すると、入り口までワープできる。,550,275,null,null,null,30,item,ip-item,ic-item
sunstone,sun-stone,Sun Stone,たいようのいし,A peculiar stone that makes certain species of Pokémon evolve. It is as red as the sun.,ある とくていの ポケモンを しんかさせる ふしぎな いし。 たいようのように あかい。,null,1050,null,null,3000,30,item,ip-item,ic-ston
moonstone,moon-stone,Moon Stone,つきのいし,A peculiar stone that makes certain species of Pokémon evolve. It is as black as the night sky.,ある とくていの ポケモンを しんかさせる ふしぎな いし。よぞらのように くろい。,null,1050,null,null,3000,30,item,ip-item,ic-ston
firestone,fire-stone,Fire Stone,ほのおのいし,A peculiar stone that makes certain species of Pokémon evolve. It is colored orange.,ある とくていの ポケモンを しんかさせる ふしぎな いし。だいだいいろを している。,null,1050,null,null,2500,30,item,ip-item,ic-ston
thunderstone,thunder-stone,Thunderstone,かみなりのいし,A peculiar stone that makes certain species of Pokémon evolve. It has a thunderbolt pattern.,ある とくていの ポケモンを しんかさせる ふしぎな いし。 いなずまの もようが ある。,null,1050,null,null,2500,30,item,ip-item,ic-ston
waterstone,water-stone,Water Stone,みずのいし,"A peculiar stone that makes certain species of Pokémon evolve. It is a clear, light blue.",ある とくていの ポケモンを しんかさせる ふしぎな いし。すんだ みずいろを している。,null,1050,null,null,2500,30,item,ip-item,ic-ston
leafstone,leaf-stone,Leaf Stone,リーフのいし,A peculiar stone that makes certain species of Pokémon evolve. It has a leaf pattern.,ある とくていの ポケモンを しんかさせる ふしぎな いし。はっぱの もようが ある。,null,1050,null,null,2500,30,item,ip-item,ic-ston
tinymushroom,tiny-mushroom,TinyMushroom,ちいさなキノコ,A small and rare mushroom. It is quite popular among certain maniacal fan segments.,ちいさな めずらしい キノコ。いちぶの マニアの あいだでは けっこう にんきが たかい。,500,250,null,null,null,30,item,ip-item,ic-cash
bigmushroom,big-mushroom,Big Mushroom,おおきなキノコ,A large and rare mushroom. It is very popular among certain maniacal fan segments.,おおきな めずらしい キノコ。いちぶの マニアの あいだでは とても にんきが たかい。,null,2500,null,null,null,30,item,ip-item,ic-cash
pearl,pearl,Pearl,しんじゅ,A somewhat-small pearl that sparkles in a pretty silver color. It can be sold cheaply to shops.,きれいな ぎんいろに ひかる すこし ちいさめの しんじゅ。ショップで やすく うれる。,650,700,null,null,null,30,item,ip-item,ic-cash
bigpearl,big-pearl,Big Pearl,おおきなしんじゅ,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.,きれいな ぎんいろに ひかる かなり おおつぶの しんじゅ。ショップで たかく うれる。,null,3750,null,null,null,30,item,ip-item,ic-cash
stardust,stardust,Stardust,ほしのすな,"Lovely, red-colored sand with a loose, silky feel. It can be sold at a high price to shops.",てざわりが サラサラの あかくて きれいな すな。 ショップで たかく うれる。,900,1000,null,null,null,30,item,ip-item,ic-cash
starpiece,star-piece,Star Piece,ほしのかけら,A shard of a pretty gem that sparkles in a red color. It can be sold at a high price to shops.,キラキラと あかく ひかる きれいな ほうせきの かけら。 ショップで たかく うれる。,4600,4900,null,null,null,30,item,ip-item,ic-cash
nugget,nugget,Nugget,きんのたま,A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.,キラキラと きんいろに ひかる じゅんきん せいの たま。ショップで たかく うれる。,4500,5000,null,null,500,30,item,ip-item,ic-cash
heartscale,heart-scale,Heart Scale,ハートのウロコ,"A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow.",きれいな ハートの かたちの とても めずらしい ウロコ。にじいろに うすく かがやく。,null,50,null,null,1000,30,item,ip-item,ic-item
honey,honey,Honey,あまいミツ,"A sweet honey with a lush aroma that attracts wild Pokémon when it is used in grass, caves, or on special trees.",くさむらや どうくつ などで つかうと あまいにおいに さそわれて やせいポケモンが あらわれる。,null,50,null,null,null,30,item,ip-item,ic-item
growthmulch,growth-mulch,Growth Mulch,すくすくこやし,"A fertilizer to be spread on soft soil. It speeds up the growth of Berries. However, it also dries the soil faster.",ふかふかのつちに まいて つかう。つちの かわきが はやくなるが きのみの そだちも はやくなる。,200,100,null,null,null,30,item,ip-item,ic-mulc
dampmulch,damp-mulch,Damp Mulch,じめじめこやし,A fertilizer to be spread on soft soil. It slows the growth of Berries and causes the soil to dry slower.,ふかふかのつちに まいて つかう。つちの かわきが おそくなるが きのみの そだちも おそくなる。,200,100,null,null,null,30,item,ip-item,ic-mulc
stablemulch,stable-mulch,Stable Mulch,ながながこやし,A fertilizer to be spread on soft soil. It extends the time ripened Berries remain on their plants before falling.,ふかふかのつちに まいて つかう。きのみが おちるまでの じかんが ふだんより ながくなる。,200,100,null,null,null,30,item,ip-item,ic-mulc
gooeymulch,gooey-mulch,Gooey Mulch,ねばねばこやし,A fertilizer to be spread on soft soil. It ups the number of times new plants grow where mature plants withered.,ふかふかのつちに まいて つかう。かれたあとに あたらしい めが でてくる かいすうが ふえる。,200,100,null,null,null,30,item,ip-item,ic-mulc
rootfossil,root-fossil,Root Fossil,ねっこのカセキ,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a plant root.,おおむかし うみに すんでいた こだい ポケモンの カセキ。 ねっこの いちぶ らしい。,null,500,null,null,null,100,item-foss,ip-item,ic-fossil
clawfossil,claw-fossil,Claw Fossil,ツメのカセキ,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.,おおむかし うみに すんでいた こだい ポケモンの カセキ。 ツメの いちぶ らしい。,null,500,null,null,null,100,item-foss,ip-item,ic-fossil
helixfossil,helix-fossil,Helix Fossil,かいのカセキ,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.,おおむかし うみに すんでいた こだい ポケモンの カセキ。かいがらの いちぶ らしい。,null,500,null,null,null,100,item-foss,ip-item,ic-fossil
domefossil,dome-fossil,Dome Fossil,こうらのカセキ,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell.,おおむかし うみに すんでいた こだい ポケモンの カセキ。こうらの いちぶ らしい。,null,500,null,null,null,100,item-foss,ip-item,ic-fossil
oldamber,old-amber,Old Amber,ひみつのコハク,A piece of amber that contains the genetic material of an ancient Pokémon. It is clear with a reddish tint.,こだい ポケモンの いでんしが とじこめられている コハク。あかみを おびて すけている。,null,500,null,null,null,100,item-foss,ip-item,ic-fossil
armorfossil,armor-fossil,Armor Fossil,たてのカセキ,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.,おおむかし ちじょうで くらした こだい ポケモンの カセキ。 えりかざりの いちぶ らしい。,null,500,null,null,null,100,item-foss,ip-item,ic-fossil
skullfossil,skull-fossil,Skull Fossil,ずがいのカセキ,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a head.,おおむかし ちじょうで くらした こだい ポケモンの カセキ。 あたまの いちぶ らしい。,null,500,null,null,null,100,item-foss,ip-item,ic-fossil
rarebone,rare-bone,Rare Bone,きちょうなホネ,A bone that is extremely valuable for Pokémon archaeology. It can be sold for a high price to shops.,ポケモンこうこがくの うえで とても きちょうな ホネ。ショップで たかく うれる。,null,5000,null,null,null,100,item,ip-item,ic-cash
shinystone,shiny-stone,Shiny Stone,ひかりのいし,A peculiar stone that makes certain species of Pokémon evolve. It shines with a dazzling light.,ある とくていの ポケモンを しんかさせる ふしぎな いし。ひかりのように まぶしい。,null,1050,null,null,3000,80,item,ip-item,ic-ston
duskstone,dusk-stone,Dusk Stone,やみのいし,A peculiar stone that makes certain species of Pokémon evolve. It is as dark as dark can be.,ある とくていの ポケモンを しんかさせる ふしぎな いし。やみのように くらい。,null,1050,null,null,3000,80,item,ip-item,ic-ston
dawnstone,dawn-stone,Dawn Stone,めざめいし,A peculiar stone that makes certain species of Pokémon evolve. It sparkles like eyes.,ある とくていの ポケモンの しんかさせる ふしぎな いし。ひとみのように まばゆい。,null,1050,null,null,3000,80,item,ip-item,ic-ston
