pd_name_sta,pd_name_end,evo_cond_code,lv
ヒノアラシ,マグマラシ,lv,14
マグマラシ,バクフーン,lv,36
ワニノコ,アリゲイツ,lv,18
アリゲイツ,オーダイル,lv,30
オタチ,オオタチ,lv,15
ホーホー,ヨルノズク,lv,20
レディバ,レディアン,lv,18
イトマル,アリアドス,lv,22
チョンチー,ランターン,lv,27
トゲピー,トゲチック,fr,null
トゲチック,トゲキッス,sy,null
ネイティ,ネイティオ,lv,25
メリープ,モココ,lv,15
モココ,デンリュウ,lv,30
ルリリ,マリル,fr,null
マリル,マリルリ,lv,18
ウソハチ,ウソッキー,mm,null
ハネッコ,ポポッコ,lv,18
ポポッコ,ワタッコ,lv,27
エイパム,エテボース,md,null
ヒマナッツ,キマワリ,ss,null
ヤンヤンマ,メガヤンマ,ma,null
ウパー,ヌオー,lv,20
ヤミカラス,ドンカラス,sd,null
ムウマ,ムウマージ,sd,null
ソーナノ,ソーナンス,lv,15
クヌギダマ,フォレトス,lv,31
グライガー,グライオン,if,null
ブルー,グランブル,lv,23
ニューラ,マニューラ,ic,null
ヒメグマ,リングマ,lv,30
マグマッグ,マグカルゴ,lv,38
ウリムー,イノムー,lv,33
イノムー,マンムー,ma,null
テッポウオ,オクタン,lv,25
タマンタ,マンタイン,pr,null
デルビル,ヘルガー,lv,24
ゴマゾウ,ドンファン,lv,25
ヨーギラス,サナギラス,lv,30
サナギラス,バンギラス,lv,55
キモリ,ジュプトル,lv,16
ジュプトル,ジュカイン,lv,36
アチャモ,ワカシャモ,lv,16
ワカシャモ,バシャーモ,lv,36
ミズゴロウ,ヌマクロー,lv,16
ヌマクロー,ラグラージ,lv,36
ポチエナ,グラエナ,lv,18
ジグザグマ,マッスグマ,lv,20
ケムッソ,カラサリス,lv,7
カラサリス,アゲハント,lv,10
ケムッソ,マユルド,lv,7
マユルド,ドクケイル,lv,10
ハスボー,ハスブレロ,lv,14
ハスブレロ,ルンパッパ,sw,null
タネボー,コノハナ,lv,14
コノハナ,ダーテング,sl,null
スバメ,オオスバメ,lv,22
キャモメ,ペリッパー,lv,25
ラルトス,キルリア,lv,20
キルリア,サーナイト,lv,30
キルリア,エルレイド,wm,null
アメタマ,アメモース,lv,22
キノココ,キノガッサ,lv,23
ナマケロ,ヤルキモノ,lv,18
ヤルキモノ,ケッキング,lv,36
ツチニン,テッカニン,lv,20
ツチニン,ヌケニン,pe,null
ゴニョニョ,ドゴーム,lv,20
ドゴーム,バクオング,lv,40
マクノシタ,ハリテヤマ,lv,24
ノズパス,ダイノーズ,zc,null
エネコ,エネコロロ,sm,null
ココドラ,コドラ,lv,32
コドラ,ボスゴドラ,lv,42
アサナン,チャーレム,lv,37
ラクライ,ライボルト,lv,26
スボミー,ロゼリア,fd,null
ロゼリア,ロズレイド,sy,null
ゴクリン,マルノーム,lv,26
キバニア,サメハダー,lv,30
ホエルコ,ホエルオー,lv,40
ドンメル,バクーダ,lv,33
バネブー,ブーピッグ,lv,32
ナックラー,ビブラーバ,lv,35
ビブラーバ,フライゴン,lv,45
サボネア,ノクタス,lv,32
チルット,チルタリス,lv,35
ドジョッチ,ナマズン,lv,30
ヘイガニ,シザリガー,lv,30
ヤジロン,ネンドール,lv,36
リリーラ,ユレイドル,lv,40
アノプス,アーマルド,lv,40
ヒンバス,ミロカロス,be,null
カゲボウズ,ジュペッタ,lv,37
ヨマワル,サマヨール,lv,37
サマヨール,ヨノワール,tc,null
リーシャン,チリーン,fn,null
ユキワラシ,オニゴーリ,lv,42
ユキワラシ,ユキメノコ,wf,null
タマザラシ,トドグラー,lv,32
トドグラー,トドゼルガ,lv,44
パールル,ハンテール,tt,null
パールル,サクラビス,ts,null
タツベイ,コモルー,lv,30
コモルー,ボーマンダ,lv,50
ダンバル,メタング,lv,20
メタング,メタグロス,lv,45
ナエトル,ハヤシガメ,lv,18
ハヤシガメ,ドダイトス,lv,32
ヒコザル,モウカザル,lv,14
モウカザル,ゴウカザル,lv,36
ポッチャマ,ポッタイシ,lv,16
ポッタイシ,エンペルト,lv,36
ムックル,ムクバード,lv,14
ムクバード,ムクホーク,lv,34
ビッパ,ビーダル,lv,15
コロボーシ,コロトック,lv,10
コリンク,ルクシオ,lv,15
ルクシオ,レントラー,lv,30
ズガイドス,ラムパルド,lv,30
タテトプス,トリデプス,lv,30
ミノムッチ - くさきのミノ,ミノマダム - くさきのミノ,lf,null
ミノムッチ - くさきのミノ,ガーメイル,lm,null
ミノムッチ - すなちのミノ,ミノマダム - すなちのミノ,lf,null
ミノムッチ - すなちのミノ,ガーメイル,lm,null
ミノムッチ - ゴミのミノ,ミノマダム - ゴミのミノ,lf,null
ミノムッチ - ゴミのミノ,ガーメイル,lm,null
ミツハニー,ビークイン,l1,null
ブイゼル,フローゼル,lv,26
チェリンボ,チェリム,lv,25
カラナクシ - にしのうみ,トリトドン - にしのうみ,lv,30
カラナクシ - ひがしのうみ,トリトドン - ひがしのうみ,lv,30
フワンテ,フワライド,lv,28
ミミロル,ミミロップ,fr,null
ニャルマー,ブニャット,lv,38
スカンプー,スカタンク,lv,34
ドーミラー,ドータクン,lv,33
フカマル,ガバイト,lv,24
ガバイト,ガブリアス,lv,48
リオル,ルカリオ,fd,null
ヒポポタス,カバルドン,lv,34
スコルピ,ドラピオン,lv,40
グレッグル,ドクロッグ,lv,37
ケイコウオ,ネオラント,lv,31
ユキカブリ,ユキノオー,lv,40
